time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,9.9993039100e-01,6.6661743759e-05,2.2033640782e-07,2.1973705793e-07,3.1538654725e-07,1.4798886691e-06,7.1190325572e-07,0.0000000000e+00
1.0000000000e+00,9.9971659182e-01,2.7139108522e-04,8.8731570243e-07,8.9579465414e-07,1.2857264115e-06,6.0752143518e-06,2.8730415408e-06,0.0000000000e+00
1.5000000000e+00,9.9935420599e-01,6.1874905188e-04,1.9900657623e-06,2.0018894187e-06,2.8452965853e-06,1.3763788123e-05,6.4439227580e-06,0.0000000000e+00
2.0000000000e+00,9.9881862864e-01,1.1331347065e-03,3.6475775672e-06,3.5667065036e-06,5.1651891347e-06,2.4497258228e-05,1.1359922776e-05,0.0000000000e+00
2.5000000000e+00,9.9816934850e-01,1.7550135046e-03,5.6808087162e-06,5.5237873511e-06,8.0861937031e-06,3.8667004187e-05,1.7680201579e-05,0.0000000000e+00
3.0000000000e+00,9.9750525870e-01,2.3876453556e-03,8.1074914205e-06,7.7690777858e-06,1.1562272543e-05,5.3996242149e-05,2.5660860168e-05,0.0000000000e+00
3.5000000000e+00,9.9659640030e-01,3.2572659341e-03,1.1154407302e-05,1.0595826872e-05,1.6020412857e-05,7.3254246067e-05,3.5308874032e-05,0.0000000000e+00
4.0000000000e+00,9.9552550930e-01,4.2801329682e-03,1.5142588360e-05,1.3921796632e-05,2.1320947703e-05,9.7513997521e-05,4.6458400862e-05,0.0000000000e+00
4.5000000000e+00,9.9442857668e-01,5.3300701135e-03,1.8890179778e-05,1.7414836578e-05,2.6152405003e-05,1.2061462205e-04,5.8281159747e-05,0.0000000000e+00
5.0000000000e+00,9.9332582575e-01,6.3807988175e-03,2.3068238296e-05,2.1100937791e-05,3.1514482589e-05,1.4607249415e-04,7.1619280700e-05,0.0000000000e+00
5.5000000000e+00,9.9182423328e-01,7.8210425129e-03,2.8007371128e-05,2.5647960861e-05,3.7615069337e-05,1.7685580781e-04,8.6597994240e-05,0.0000000000e+00
